11;Наименование события;Наименование ставки;Коэф;Банкролл;Ставка, уе.;Результат;Выигрыш;Чистый выигрыш;Коммент;Ссылки;;
5.6.2016 12:30:00;Э 1) Бердых - Маррей П2 2) Кирьос - Нисикори П2 (ATP Madrid);П1*П2 mbet;2,115;100000;5000;1;10575;5575;;http://www.oddsportal.com/tennis/spain/atp-madrid/berdych-tomas-murray-andy-S47JUSQE/;http://www.oddsportal.com/tennis/spain/atp-madrid/kyrgios-nick-nishikori-kei-GI5LjsJj/;
5.6.2016 15:00:00;Цибулкова - Чирико  WTA Madrid;Ф2(+5) mbet;1,48;100000;5000;2;0;-5000;;http://www.oddsportal.com/tennis/spain/wta-madrid/cibulkova-dominika-chirico-louisa-xS6HiN3p/;;
5.6.2016 18:00:00;Krylya Sovetov Samara - Ufa (Soccer, Russia, Premier League);Ф2(+1) mbet;1,46;100000;3000;3;3000;0;;http://www.oddsportal.com/soccer/russia/premier-league/krylya-sovetov-samara-ufa-6ZzjVJmD/;;
5.6.2016 19:00:00;Arsenal Tula - Kamaz (Soccer, Russia, Div 1);Ф1(-2) mbet;1,53;100000;3000;2;0;-3000;;http://www.oddsportal.com/soccer/russia/division-1/arsenal-tula-kamaz-ja26DWZ9/;;
5.6.2016 16:15:00;Э 1) Finland - Belarus 2) USA - Canada (IIHF);Ф1(-1) * Обе забьют, да mbet;1,4672;100000;6000;1;8803,2;2803,2;;"http://www.oddsportal.com/hockey/world/world-championship/finland-belarus-GYayH4Vq/#ah;2";"http://www.oddsportal.com/hockey/world/world-championship/usa-canada-pj95MQ7M/#bts;2";
07 May 2016, 15:30;Stepanek R. - Fritz T. (Tennis, ATP, Rome);П1 mbet;1,66;100000;4000;1;6640;2640;;"http://www.oddsportal.com/tennis/italy/atp-rome/stepanek-radek-fritz-taylor-harry-8EkTpY2D/#ah;2";;
07 May 2016, 15:30;Ymer E. - Berlocq C. (Tennis, Aix en Provence Challenger);П2 1xbet;2,04;100000;3000;1;6120;3120;;;;
07 May 2016, 17:00;Jaziri M. - Volandri F. (Tennis, ATP Rome);П1 mbet;1,7;100000;5000;2;0;-5000;;;;
07 May 2016, 16:30;Э 1) Ingolstadt - Bayern Munich  (Germany, soccer) 2) Anzhi - Zenit Petersburg (Russia, soccer);П2 во втором тайме * Ф2(-1);2,0002;100000;4000;2;0;-4000;;"http://www.oddsportal.com/soccer/germany/bundesliga/ingolstadt-bayern-munich-lKoVxtVf/#1X2;4";"http://www.oddsportal.com/soccer/russia/premier-league/anzhi-zenit-petersburg-pMR0iA4F/#ah;2;1.00;0";
07 May 2016, 16:30;Э 1)B. Monchengladbach - Bayer Leverkusen 2) ;ТМ (4) * П2 mbet;2,2379;100000;3500;2;0;-3500;;;;
